sample	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H20	H21	H22	H23	H24	H25	H26	H27	H28	H29	H30	H31	H32	H33	H34	H35	H36	H37	H38	H39	H40	H41	H42	H43	H44	H45	H46	H47	H48	H49	H50	H51	H52	H53	H54	H55	H56	H57	H58	H59	H60	H61	H62	H63	H64	H65	H66	H67	H68	H69	H70	H71	H72	H73	H74	H75	H76	H77	H78	H79	H80	H81	H82	H83	H84	H85	H86	H87	H88	H89	H90	H91	H92	H93	H94	H95	H96	H97	H98	H99	H100	H101	H102	H103	H104	H105	H106	H107	H108	H109	H110	H111	H112	H113	H114	H115	H116	H117	H118	H119	H120	H121	H122	H123	H124	H125	H126	H127	H128	H129	H130	H131	H132	H133	H134	H135	H136	H137	H138	H139	H140	H141	H142	H143	H144	H145	H146	H147	H148	H149	H150	H151	H152	H153	H154	H155	H156	H157	H158	H159	H160	H161	H162	H163	H164	H165	H166	H167	H168	H169	H170	H171	H172	H173	H174	H175	H176
FGG 	9.89205	9.46902	10.7603	9.40589	7.2747	7.39296	7.07825	7.39965	9.40073	9.62459	10.1135	6.26264	7.09394	10.0064	8.41785	10.1086	6.2205	6.52414	8.03909	7.95168	8.51881	8.31483	9.83418	7.75656	7.68294	10.0194	8.65106	9.86111	9.10228	9.21993	8.44309	7.68687	6.62178	7.14213	6.47605	6.20645	9.43481	8.15258	10.1477	10.0674	9.89974	7.75205	7.81759	7.35225	6.81068	8.63886	9.41021	10.0483	9.30884	9.39292	9.34767	9.70851	7.73009	7.02646	7.64174	9.31145	8.33057	7.71334	5.93819	9.26065	6.94654	7.69603	6.0856	6.58682	6.54344	7.21232	9.45189	6.96824	7.07987	7.6209	7.24141	7.10575	7.0928	6.66014	8.3033	8.50732	8.03335	7.63642	7.07694	8.01674	7.88796	8.7029	9.90528	9.64409	6.96594	8.1536	7.20758	6.78126	8.75153	7.6163	9.00051	7.3804	7.60282	9.24131	7.50557	9.15358	8.42194	9.38473	9.41228	7.22649	6.91201	9.78512	8.99035	9.33624	8.25555	6.04706	5.73814	9.93864	9.29414	9.76411	6.76351	6.55702	7.35453	9.36846	10.1291	10.5116	8.51493	8.94727	9.59087	9.02456	9.44289	9.82559	7.78694	6.7598	6.46625	9.57554	9.06531	7.89666	9.84119	8.82836	9.24773	9.00211	8.72993	9.3662	9.33937	8.80367	9.12138	7.26436	7.53997	9.55962	9.76412	8.34041	8.49065	9.43592	9.57529	9.7511	6.54962	5.88733	5.67965	7.23944	6.61068	6.83407	8.65858	9.25861	8.98774	10.1464	10.4723	10.1167	9.58826	8.23107	7.27637	7.12043	7.29418	7.33993	7.53313	10.2027	9.56388	10.3404	9.52414	8.45495	7.75496	9.26244	9.42246	10.3151	9.65432	9.12408
ELANE 	10.6326	10.2481	9.09062	10.483	8.31602	8.77507	7.51046	8.34692	10.2525	10.8664	10.4714	7.55196	6.75321	10.3016	9.96259	10.1085	9.59869	9.73984	10.4781	10.4839	10.4169	10.3824	10.9241	10.2104	8.497	10.5055	10.7993	10.3074	9.8141	10.8658	10.744	7.60174	7.96805	7.15557	7.33485	6.86183	10.8349	9.86495	10.5139	10.584	10.3814	7.8586	8.23736	7.88693	8.43598	9.5569	10.1774	10.2781	10.8066	10.9195	10.8581	9.92844	8.49845	9.24938	10.0226	10.5468	9.78707	9.60351	9.56263	10.1501	9.92707	8.79818	8.89933	NaN	8.36288	8.24341	7.41637	7.51403	8.06457	7.77433	7.22421	9.96688	9.11389	9.43854	10.2021	9.87839	8.6657	8.68955	8.85359	9.63976	9.68839	10.1543	10.343	10.5111	7.25887	7.95051	9.02867	9.98706	10.3193	9.98117	8.8413	8.93705	8.79376	10.1958	9.97919	9.83304	9.8875	10.4648	10.6777	9.03775	9.4245	10.3101	10.5901	10.5835	8.65539	8.43413	8.33202	10.7564	10.4998	10.8075	8.69644	9.14369	8.61267	10.639	10.9504	11.003	10.284	10.1541	10.582	10.4351	10.4146	10.7754	8.11591	7.48433	7.79517	10.4695	10.6961	10.5232	9.60042	10.4882	10.614	10.1143	9.98023	10.7089	10.5105	10.515	10.4523	8.30101	8.68044	8.77174	10.0362	9.69987	9.50156	10.6079	10.7986	10.7814	8.32827	8.79455	8.59763	7.82433	8.49593	7.83197	9.961	10.0526	10.3229	10.3186	9.91413	10.5622	10.4819	9.39136	9.36332	9.58971	9.55943	7.61166	7.87655	10.5654	10.5851	10.8908	10.8643	10.3099	10.2172	10.2186	10.5491	9.87989	9.99463	9.80007
PRTN3 	10.0144	9.39835	8.48348	9.68008	8.47376	8.59947	8.41297	8.18825	10.1553	10.1544	9.91751	7.84594	6.85095	9.57244	9.50091	9.95649	9.51425	9.41404	9.97587	9.88474	10.0607	9.91773	9.99804	9.65606	8.45994	10.1775	10.2623	10.0231	9.74239	10.0882	10.0296	7.53776	7.869	7.27067	7.22995	6.865	10.1762	9.48564	10.5918	10.4652	10.4072	7.4689	9.0527	8.97653	8.97187	9.82522	10.0238	9.85536	9.99559	10.1283	10.0288	10.0351	8.94421	8.71449	9.62471	10.22	9.16591	9.66567	9.833	9.74139	10.0547	10.1775	8.29824	8.75175	8.49722	7.43343	7.79693	6.55079	7.63772	7.93512	7.22568	9.54278	8.96191	8.83964	9.92373	9.75761	8.34344	8.65767	8.67179	10.2933	9.76147	10.0645	10.1231	9.91672	6.80099	7.60843	8.7131	10.0663	9.85173	9.5661	8.89104	9.00451	8.80552	10.1013	9.7807	9.69082	9.79388	9.91171	10.21	9.19402	9.0404	10.0333	10.1857	9.9534	8.29154	8.64402	8.39527	10.163	10.0926	10.3168	8.73611	8.85645	8.72457	10.0894	10.2591	10.0956	10.0751	9.97534	9.92659	10.1491	9.98963	10.0926	6.64528	6.8945	6.633	10.147	10.1589	10.0293	8.85686	9.66484	9.66189	9.78694	9.65498	9.90985	10.3248	10.3174	10.1622	8.44244	8.44636	8.75773	9.75198	9.57567	9.36092	10.2887	10.3556	10.3082	7.64033	7.86123	7.6132	7.98687	7.10257	7.69899	9.67208	9.38106	10.2425	10.3177	10.1115	10.0247	10.2535	9.17594	9.71516	9.64413	9.72997	7.47794	7.34675	10.1192	10.1353	10.1179	10.1685	9.89953	10.4388	10.1896	10.4385	10.0446	10.0254	9.97285
BASP1 	9.11252	7.67847	8.10674	9.02849	6.32446	6.81416	7.53411	7.46571	9.55043	9.6453	9.65567	7.18621	7.58777	8.87785	7.01475	9.62117	8.22291	8.46104	9.06944	9.09601	9.16459	9.02627	9.79419	8.75062	7.87102	9.27034	7.66297	9.3375	8.42214	9.70858	9.63594	6.46349	6.97813	6.63789	7.14237	5.96571	9.4752	7.99923	8.93491	8.90669	9.07437	8.24485	NaN	NaN	NaN	8.78926	7.9314	9.35186	9.86816	9.46676	9.48414	8.59644	6.52481	6.81263	8.32672	9.49702	6.37709	8.46279	8.77531	9.35433	6.72932	NaN	7.2105	6.84489	6.1458	7.12847	7.13225	6.47635	7.69794	6.95612	6.76659	6.97888	7.18522	6.26077	9.11291	9.18005	7.49692	7.19194	7.13384	8.60099	8.80835	9.69717	9.73305	9.78812	6.79243	7.70184	6.46328	8.01057	8.62992	8.11057	6.78351	7.46451	6.55359	8.92722	8.5758	8.54429	8.65666	8.54761	9.12776	NaN	7.27544	8.55162	8.24599	8.81291	7.14242	7.18354	7.12307	8.98149	8.44221	9.35509	6.32334	6.31501	6.12407	9.10077	9.6207	9.71368	9.03817	9.11506	9.08799	9.44428	9.75332	9.60201	7.12716	NaN	NaN	9.83873	9.73718	9.4123	8.99058	9.32378	9.8702	9.61206	9.34189	9.55491	9.10288	8.70196	9.18257	6.96776	6.97092	NaN	9.33569	8.76266	8.33177	9.72087	9.34623	9.54027	8.26266	8.02207	7.92877	7.40983	8.19991	6.68478	8.54448	7.95766	8.5079	9.49584	9.43393	9.54238	9.1909	8.04413	8.22386	8.47969	8.49878	7.28966	6.89742	9.50915	9.79581	9.67331	9.3227	8.89065	9.12507	9.1944	9.09142	9.2161	9.61384	9.56652
FGB 	9.89906	9.62871	10.8913	9.64294	6.66245	7.07253	7.58785	7.70116	9.66041	9.77401	10.1579	6.086	7.3475	10.0582	8.21327	10.1787	7.11436	7.14489	8.04465	8.30645	8.87207	8.52772	9.92013	7.8277	8.07622	10.1627	8.91527	9.94616	9.38326	9.39612	8.75385	8.04766	7.23817	7.44412	7.72432	6.49949	9.46945	8.03698	10.2601	10.2465	10.1178	8.06864	8.05583	8.05509	7.82958	9.12212	9.79851	10.2467	9.68561	9.72703	9.56556	9.83212	7.1042	7.8158	7.86682	8.98832	9.01048	7.8757	7.09001	9.52904	7.32297	8.08781	7.41672	7.50909	7.29702	7.44845	9.44173	7.24856	8.31208	8.08648	7.46952	7.09589	7.2696	7.28921	8.97511	8.8353	7.37938	7.43191	7.612	7.76873	8.07662	8.65087	10.0722	9.82563	7.24927	7.98535	7.5555	7.97714	8.37628	7.65539	8.71948	8.01347	7.16756	9.22615	7.64592	9.40357	8.35569	9.52167	9.56768	7.6784	7.29066	9.85221	9.35199	9.49539	7.99524	6.97847	6.88076	10.2412	9.36786	9.83182	6.93388	7.80951	7.71828	9.47295	10.1429	10.6267	8.67213	9.26165	9.8286	9.64765	9.87701	10.0415	6.97543	7.95046	5.66044	9.68028	8.86142	7.0952	9.91194	9.24518	9.55046	9.29702	9.15765	9.49025	9.60256	8.49074	9.33106	6.87981	7.01861	9.63417	9.90399	8.84028	9.09002	9.60697	9.92725	9.94283	8.05072	7.53182	6.95677	7.63124	7.91117	7.09264	8.85094	9.23441	9.7708	10.1753	10.4523	10.1318	9.52017	8.47792	7.39784	7.10455	6.93746	7.07752	7.4782	10.2511	9.66226	10.2631	9.77783	8.19636	8.70133	9.22318	9.64542	10.5872	9.69231	9.4215
AZU1 	10.1015	9.34775	8.88651	9.89767	8.11867	8.76984	7.59382	7.56373	10.0313	10.2767	10.1788	8.21531	8.22479	9.95729	9.30786	9.36037	9.32171	9.53044	9.71747	9.85288	10.0917	9.7263	10.016	9.80994	8.41224	10.0531	10.1414	9.62488	9.28734	10.1061	10.1032	7.45235	7.20316	6.49679	6.88356	6.62387	10.0545	9.34883	10.2972	10.3141	10.2224	8.54379	8.12434	8.69517	8.78831	9.87333	10.0667	10.0246	9.98723	10.183	10.3723	9.30068	8.1959	8.78275	9.06767	10.0135	8.50753	9.65404	9.58754	9.79719	10.0142	9.63219	7.71366	NaN	7.43332	7.89871	7.57943	7.17118	8.18233	8.12185	7.28344	9.58628	8.18041	8.62756	10.3796	10.2428	7.74472	8.36484	7.62447	10.1475	9.88645	10.2604	10.2741	10.4559	7.49857	7.80106	7.71765	9.9469	9.59118	9.10955	7.9072	8.29236	6.78748	9.88672	9.6546	9.74349	9.71137	9.71481	10.4667	8.14528	8.31797	10.162	10.1105	9.80504	7.28084	8.64662	8.51631	10.0539	10.0854	10.2136	8.55905	8.77282	8.5428	9.90591	10.1565	10.2855	10.0931	10.1082	10.1296	10.4634	10.2229	10.2838	8.1664	7.76817	7.0263	10.3658	10.494	10.2515	9.44618	9.81133	9.93151	10.0008	9.81615	10.1694	9.81241	9.70395	9.99052	7.98465	8.20313	8.19438	10.0481	9.88614	9.6098	10.1738	10.1979	10.3231	7.79321	8.26389	7.62339	7.00391	8.26078	6.85971	9.38008	9.38607	10.0947	9.93867	10.0229	10.3644	10.3303	8.97583	9.72011	9.90611	9.94341	7.78162	7.22793	10.5236	10.4301	10.0215	9.80974	9.49637	10.1764	10.0863	10.1888	9.59443	9.7613	9.5519
CORO1A 	9.90232	7.94819	8.03501	9.1796	6.86596	6.50953	7.606	7.87359	9.49028	9.81138	9.76043	6.91735	8.40128	9.45733	7.43846	9.65094	7.92596	7.97723	8.75266	8.97781	9.35951	8.92654	10.0235	9.04431	8.46934	9.57538	8.74694	9.60987	8.91879	9.81003	9.73298	7.19925	6.93953	7.1522	7.59958	7.29207	9.51105	8.10478	9.12541	9.16108	9.00588	7.52083	7.97665	8.03168	7.84252	8.65985	8.96534	9.6825	9.97042	9.61	9.58501	7.40637	7.59655	7.33015	8.08654	9.32953	7.77836	7.57147	8.05521	9.31477	6.92912	7.744	7.79315	8.10581	7.33137	8.04032	6.55255	7.29073	7.03086	7.35792	6.45586	7.64906	7.55584	7.37495	8.98917	8.93988	7.1174	7.1684	7.87186	8.1551	8.41428	9.53981	9.75059	9.79132	7.73593	7.32653	6.94017	8.33979	8.40483	7.29656	7.02904	7.9622	7.24885	9.25994	8.27958	8.62449	8.09974	8.85921	9.29436	7.65771	7.74521	8.86541	8.7231	9.23437	7.06049	6.77138	7.06319	9.62778	9.0982	9.62476	7.43966	6.58035	6.75176	9.16158	9.8904	9.78903	8.94193	9.28682	9.05133	9.39568	9.54128	9.82716	7.14047	6.53259	6.17653	9.99732	9.79437	9.39713	9.21844	9.34031	9.9885	9.37052	9.23555	9.69491	9.36469	9.30451	9.1849	6.80743	7.15558	7.29016	9.32789	7.53115	8.07354	9.55447	9.38268	9.5168	7.26819	7.70183	6.99978	8.01525	7.34376	7.37668	8.41086	8.33051	8.94511	9.70806	9.68408	9.75933	9.41614	8.13616	7.56776	7.20327	7.28977	7.02567	6.45074	9.71949	9.69315	9.77799	9.51769	9.21297	8.85718	8.84102	9.28066	9.39572	9.70321	9.56897
CTSG 	10.086	9.91137	9.00008	10.0832	7.80985	8.84995	8.65914	8.73318	10.5269	10.5627	10.3587	8.58922	8.62899	10.0836	9.634	10.2365	9.40531	9.65511	10.3323	10.2991	10.1328	10.101	10.5608	9.79458	8.40294	10.4978	10.3362	10.2547	9.93384	10.3696	10.339	7.69541	7.53537	6.35435	7.82228	6.92146	10.3416	9.84753	10.4954	10.5333	10.3746	8.55961	8.95248	9.1671	9.18767	9.82159	10.338	10.3904	10.3211	10.4404	10.5718	9.89204	8.73452	8.79016	9.73391	10.3138	9.46364	9.60702	9.52464	10.0775	10.2012	10.3071	8.80235	8.79098	8.60719	8.45176	7.89777	8.47024	8.59056	8.20749	8.52174	9.65073	8.38983	8.45876	9.91681	9.84237	8.64271	8.46355	8.80863	9.47241	9.5791	10.2041	10.3659	10.4295	7.66224	8.24994	8.92606	9.75116	10.0241	9.78129	8.93453	9.25099	8.57954	10.3838	10.087	10.141	10.1324	10.2302	10.3803	8.90573	8.98439	9.70623	9.75522	9.64243	7.58621	8.12857	7.8002	10.3238	9.91373	10.3938	8.87742	8.73463	8.73597	10.0069	10.4643	10.2855	9.98993	10.218	10.0519	10.3189	10.1815	10.1919	8.36804	8.04659	8.30766	10.542	10.5162	10.3108	9.95342	10.0783	10.1756	10.0167	9.96168	10.2726	10.2788	10.2726	10.205	8.52405	8.72453	8.95106	10.0596	9.57051	9.43422	9.83132	9.93067	10.0508	8.48345	8.42458	8.38967	8.90036	8.31869	8.34586	9.65519	9.8876	10.5768	10.75	10.5446	10.3439	9.99302	9.4143	9.1045	9.47965	9.52912	7.0798	7.24767	10.335	10.4604	10.5265	10.2202	10.2098	10.372	10.0781	10.2889	10.2362	10.3012	10.2539
ANXA3 	10.2998	9.63038	8.57285	10.1238	7.97737	6.73128	8.83015	8.94123	10.1103	10.2227	10.0303	8.33117	8.49654	10.0341	9.22564	10.5448	8.73411	9.31084	10.1434	10.0616	10.1919	9.76185	10.3089	9.95954	8.88431	10.3149	9.91566	10.0237	9.72043	10.1474	10.2206	8.39858	7.89003	8.82394	7.37276	7.96542	10.0183	9.22423	10.2562	10.1537	10.0104	8.58307	8.69662	8.37036	8.12152	9.59763	10.1291	9.92242	10.4855	10.2452	10.1293	9.42668	8.24863	8.47735	8.87852	9.76917	8.67882	8.98212	8.90784	9.72884	8.29859	8.26785	7.91726	8.51452	8.09044	8.68445	9.60838	7.99224	8.43958	8.3502	8.03288	8.55003	8.53151	7.90096	9.51905	9.40746	8.24881	8.45976	8.51849	9.00217	9.23705	9.98386	10.3484	9.95482	8.07978	9.25231	7.97155	9.14153	9.4512	9.15164	8.13026	8.47868	7.57804	9.7112	9.13465	9.40673	9.29403	9.92993	9.85584	8.02261	8.34325	9.63041	9.50262	9.94942	8.79973	7.61374	7.71204	10.498	9.79226	10.2522	8.40499	7.95051	8.30973	10.232	10.0646	9.8866	9.77457	9.85876	9.81845	9.79917	10.0603	10.4351	8.43329	7.38791	7.41762	10.1137	10.434	10.0595	9.86017	10.0359	10.2363	9.69085	9.54684	9.83016	10.1539	10.0266	10.2658	8.87575	8.43223	8.3792	9.70448	9.34468	9.43777	10.391	10.191	10.1213	8.20637	7.7957	7.79262	9.00574	8.59105	8.26408	9.4533	9.44597	10.22	10.4949	10.4787	10.0006	10.4759	9.34855	7.88879	8.49048	8.62839	8.29387	7.99449	9.72281	10.2173	10.1092	10.015	9.99331	10.1535	10.0579	10.509	9.73361	10.1007	10.0043
ANXA6 	9.94919	9.20163	8.87221	9.87348	7.44155	7.62151	8.35165	8.19235	10.0437	10.0735	10.0888	8.10388	8.99774	9.74739	8.90894	10.2908	8.33374	8.455	9.76416	9.80456	9.94856	9.67118	10.3421	9.58506	8.47647	10.085	9.59071	9.75187	9.48198	9.93953	10.0144	8.16313	7.91471	7.7287	8.05031	7.99674	9.99296	8.7598	10.0149	9.98967	9.93878	8.46062	8.57883	8.32998	8.17287	8.81947	9.91099	9.66048	10.1622	10.1128	9.65585	9.01542	8.23603	7.9022	8.7182	9.94008	8.31719	8.56234	8.84431	9.56779	8.28408	8.09109	8.0685	8.39676	7.43049	7.92614	8.06232	7.98662	8.02137	8.45417	8.12076	8.46125	8.40935	7.83137	9.70906	9.46783	8.05966	7.90048	8.2841	8.09064	8.62575	9.80376	9.99479	9.82434	7.68314	8.01613	7.69855	8.77712	8.41759	8.38439	8.46562	8.79854	8.69748	9.60843	9.25776	9.48055	9.53164	9.76727	9.9874	8.52914	8.31389	9.79623	9.7767	9.90227	7.63958	7.46694	7.49726	10.0477	9.5483	10.0272	8.52192	8.07002	8.12256	9.7672	9.66007	9.81712	9.86029	9.78788	9.59962	10.0158	10.0416	10.1533	8.3863	7.96973	7.69245	9.74202	10.0847	9.65132	9.433	9.78421	10.13	9.89649	9.73666	10.0112	9.90166	9.7457	9.83232	7.63326	8.07434	8.09948	9.65344	8.85149	8.82773	10.1109	9.70896	9.7695	8.26124	8.01775	7.06702	8.09381	8.44435	7.99531	9.24169	8.72829	10.165	10.2197	10.1688	9.69496	10.0094	9.02671	7.81413	7.89187	8.02806	7.60351	7.82925	9.47225	9.91409	9.85511	9.70845	9.73798	10.0038	9.762	9.99601	9.43757	9.85827	9.74387
